"","x"
"1","abandon"
"2","abandoned"
"3","abandons"
"4","abducted"
"5","abduction"
"6","abductions"
"7","abhor"
"8","abhorred"
"9","abhorrent"
"10","abhors"
"11","absentee"
"12","absentees"
"13","abuse"
"14","abused"
"15","abuses"
"16","abusive"
"17","accident"
"18","accidental"
"19","accidentally"
"20","accidents"
"21","accusation"
"22","accusations"
"23","accuse"
"24","accused"
"25","accuses"
"26","accusing"
"27","ache"
"28","aching"
"29","acrimonious"
"30","admit"
"31","admits"
"32","admitted"
"33","admonish"
"34","admonished"
"35","affected"
"36","afflicted"
"37","affronted"
"38","afraid"
"39","aggravate"
"40","aggravated"
"41","aggravates"
"42","aggravating"
"43","aggression"
"44","aggressions"
"45","aggressive"
"46","aghast"
"47","agonise"
"48","agonised"
"49","agonises"
"50","agonising"
"51","agonize"
"52","agonized"
"53","agonizes"
"54","agonizing"
"55","alarm"
"56","alarmed"
"57","alarmist"
"58","alarmists"
"59","alas"
"60","alert"
"61","alienation"
"62","allergic"
"63","alone"
"64","ambivalent"
"65","anger"
"66","angers"
"67","angry"
"68","anguish"
"69","anguished"
"70","animosity"
"71","annoy"
"72","annoyance"
"73","annoyed"
"74","annoying"
"75","annoys"
"76","antagonistic"
"77","anti"
"78","anxiety"
"79","anxious"
"80","apathetic"
"81","apathy"
"82","apeshit"
"83","apocalyptic"
"84","apologise"
"85","apologised"
"86","apologises"
"87","apologising"
"88","apologize"
"89","apologized"
"90","apologizes"
"91","apologizing"
"92","apology"
"93","appalled"
"94","appalling"
"95","apprehensive"
"96","arrest"
"97","arrested"
"98","arrests"
"99","arrogant"
"100","ashame"
"101","ashamed"
"102","assassination"
"103","assassinations"
"104","attack"
"105","attacked"
"106","attacking"
"107","attacks"
"108","avert"
"109","averted"
"110","averts"
"111","avoid"
"112","avoided"
"113","avoids"
"114","await"
"115","awaited"
"116","awaits"
"117","awful"
"118","awkward"
"119","axe"
"120","axed"
"121","bad"
"122","badass"
"123","badly"
"124","bailout"
"125","bamboozle"
"126","bamboozled"
"127","bamboozles"
"128","ban"
"129","banish"
"130","bankrupt"
"131","bankster"
"132","banned"
"133","barrier"
"134","battle"
"135","battles"
"136","beaten"
